evidence_id,source_type,local_relative_path,sha256,captured_at_utc,sanitized_summary,ip_privacy_review,status
EV-0084,ui_dump,.reference-local/ui-dumps/EV-0084.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:26:58.3618573Z,"raw UI dump capture",pass,captured
EV-0085,screenshot,.reference-local/screenshots/EV-0085.png,1d8afcd522153ff687610497462d68fae8ccb6afb4b912442b772a890bbc1169,2026-07-18T18:27:01.2225426Z,"raw screenshot capture",pass,captured
EV-0086,ui_dump,.reference-local/ui-dumps/EV-0086.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:27:03.7384509Z,"raw UI dump capture",pass,captured
EV-0087,screenshot,.reference-local/screenshots/EV-0087.png,1d8afcd522153ff687610497462d68fae8ccb6afb4b912442b772a890bbc1169,2026-07-18T18:27:30.6743180Z,"raw screenshot capture",pass,captured
EV-0088,ui_dump,.reference-local/ui-dumps/EV-0088.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:27:33.1629460Z,"raw UI dump capture",pass,captured
EV-0089,screenshot,.reference-local/screenshots/EV-0089.png,d8387d37b4f2e8dc6fb6dade81ca2b8c18ee004d9b2f26706d2502eec5785307,2026-07-18T18:27:37.5684420Z,"raw screenshot capture",pass,captured
EV-0090,ui_dump,.reference-local/ui-dumps/EV-0090.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:27:40.0594498Z,"raw UI dump capture",pass,captured
EV-0091,screenshot,.reference-local/screenshots/EV-0091.png,62237eb793794fe1c9da5b97288f8f8a8b21a85b122ccacf94da0156145541ee,2026-07-18T18:28:14.1366556Z,"raw screenshot capture",pass,captured
EV-0092,ui_dump,.reference-local/ui-dumps/EV-0092.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:28:16.3922613Z,"raw UI dump capture",pass,captured
EV-0093,screenshot,.reference-local/screenshots/EV-0093.png,62237eb793794fe1c9da5b97288f8f8a8b21a85b122ccacf94da0156145541ee,2026-07-18T18:28:46.5854093Z,"raw screenshot capture",pass,captured
EV-0094,ui_dump,.reference-local/ui-dumps/EV-0094.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:28:48.8607794Z,"raw UI dump capture",pass,captured
EV-0095,screenshot,.reference-local/screenshots/EV-0095.png,8f98846fb991e8207f1ce7aa28a1977736b8cf674a4f9060a2bbc55753d9e1ac,2026-07-18T18:28:51.5572126Z,"raw screenshot capture",pass,captured
